Date,Open,High,Low,Close,Adj Close,Volume
2023-06-29,28013.712891,28019.843750,27406.714844,27560.505859,27560.505859,13348223289
2023-06-30,27560.451172,28315.765625,27563.476563,28014.898438,28014.898438,12128632702
2023-07-01,28011.220703,28758.470703,27125.810547,27918.685547,27918.685547,24172091842
2023-07-02,27913.736328,28068.953125,27782.755859,28022.041016,28022.041016,8323786098
2023-07-03,28019.468750,28195.566406,27707.949219,28072.724609,28072.724609,9656900726
2023-07-04,28076.158203,28757.505859,28074.076172,28549.082031,28549.082031,13993841916
2023-07-05,28549.470703,28713.302734,28162.611328,28281.734375,28281.734375,11771959918
2023-07-06,28282.787109,28385.066406,27740.130859,28109.283203,28109.283203,11497920664
2023-07-07,28102.822266,28956.966797,27576.773438,27465.175781,27465.175781,19402560820
2023-07-08,27463.947266,27751.708984,27342.931641,27661.828125,27661.828125,12202359559
2023-07-09,27666.074219,27682.320313,27420.380859,27613.984375,27613.984375,6845376907
2023-07-10,27613.134766,27739.617188,27434.660156,27504.669922,27504.669922,7204823687
2023-07-11,27505.753906,28205.222656,27358.943359,27635.562500,27635.562500,13473385341
2023-07-12,27638.435547,28007.113281,27642.716797,27802.660156,27802.660156,11033408180
2023-07-13,27803.835938,28085.425781,27143.892578,27279.845703,27279.845703,13289708218
2023-07-14,27276.113281,28345.683594,27159.490234,28044.089844,28044.089844,21103491550
2023-07-15,28042.906250,28105.207031,26681.351563,26979.121094,26979.121094,18604382626
2023-07-16,26977.087891,27044.679688,26916.324219,26961.966797,26961.966797,7130039801
2023-07-17,26963.447266,27088.121094,26778.513672,26939.876953,26939.876953,7584852317
2023-07-18,26940.318359,27019.994141,26400.279297,26828.544922,26828.544922,11783169579
2023-07-19,26829.597656,26886.185547,26358.511719,26590.166016,26590.166016,11701462491
2023-07-20,26595.048828,26893.683594,26624.367188,26696.830078,26696.830078,10824232222
2023-07-21,26698.015625,26931.333984,26642.810547,26756.269531,26756.269531,13161870825
2023-07-22,26768.031250,27003.929688,26706.617188,26865.529297,26865.529297,9856308454
2023-07-23,26865.486328,26940.599609,26656.001953,26752.763672,26752.763672,7074900677
2023-07-24,26769.214844,27254.931641,26725.558594,27041.066406,27041.066406,8287398296
2023-07-25,27038.480469,27038.644531,26125.642578,26373.333984,26373.333984,13916448698
2023-07-26,26375.191406,26589.501953,26252.154297,26449.912109,26449.912109,9291121374
2023-07-27,26448.435547,26765.597656,26362.937500,26498.292969,26498.292969,12184040124
2023-07-28,26497.234375,26550.537109,26500.779297,26607.666016,26607.666016,9810973539
2023-07-29,26609.009766,26773.416016,26589.246094,26577.896484,26577.896484,10169547544
2023-07-30,26578.078125,26648.238281,26527.966797,26612.046875,26612.046875,5875729907
2023-07-31,26612.205078,26677.984375,26367.255859,26556.158203,26556.158203,7872382313
2023-08-01,26558.884766,26757.517578,26497.675781,26580.546875,26580.546875,10600152979
2023-08-02,26581.240234,26958.771484,26140.937500,26958.771484,26958.771484,16599463506
2023-08-03,26984.583984,27262.208984,26438.583984,26638.914063,26638.914063,17556428623
2023-08-04,26647.917969,26870.722656,26519.101563,26644.656250,26644.656250,11670447577
2023-08-05,26640.732422,26573.966797,26236.896484,26368.833984,26368.833984,10916666747
2023-08-06,26370.011719,26394.568359,26263.361328,26339.843750,26339.843750,5984408159
2023-08-07,26341.273438,26474.818359,26268.835938,26395.765625,26395.765625,6607433069
2023-08-08,26392.726563,26572.435547,26126.472656,26521.001953,26521.001953,12376977033
2023-08-09,26520.494141,27545.892578,26514.794922,27159.880859,27159.880859,16032469557
2023-08-10,27160.978516,27402.841797,26771.636719,26929.605469,26929.605469,16743174060
2023-08-11,26931.861328,26893.119141,26711.607422,26798.734375,26798.734375,10804642291
